1000, 100, 42
670, 1, 10
401, 1, 15
384, 1, 16
148, 1, 1
505, 1, 8
25, 1, 15
768, 1, 4
732, 1, 7
114, 1, 14
567, 1, 4
221, 1, 15
123, 1, 15
592, 1, 17
730, 1, 10
48, 1, 1
554, 1, 8
766, 1, 4
363, 1, 11
167, 1, 22
593, 1, 11
196, 1, 18
287, 1, 11
62, 1, 16
106, 1, 14
709, 1, 5
441, 1, 6
462, 1, 18
3, 1, 4
439, 1, 0
659, 1, 3
567, 1, 19
515, 1, 13
225, 1, 17
320, 1, 21
561, 1, 8
513, 1, 14
540, 1, 3
705, 1, 14
696, 1, 19
150, 1, 20
89, 1, 9
28, 1, 21
215, 1, 15
730, 1, 10
530, 1, 21
283, 1, 8
748, 1, 10
473, 1, 10
616, 1, 6
494, 1, 14
167, 1, 10
327, 1, 11
764, 1, 18
252, 1, 20
518, 1, 8
199, 1, 7
696, 1, 20
347, 1, 18
21, 1, 1
185, 1, 9
249, 1, 17
242, 1, 11
248, 1, 1
28, 1, 2
419, 1, 13
578, 1, 14
148, 1, 18
418, 1, 10
483, 1, 1
539, 1, 2
463, 1, 21
191, 1, 3
199, 1, 8
170, 1, 15
130, 1, 4
158, 1, 8
367, 1, 13
792, 1, 13
286, 1, 7
457, 1, 1
332, 1, 15
35, 1, 21
753, 1, 4
96, 1, 9
729, 1, 17
309, 1, 15
357, 1, 13
194, 1, 6
370, 1, 12
366, 1, 3
430, 1, 21
180, 1, 13
507, 1, 5
66, 1, 8
319, 1, 13
281, 1, 18
659, 1, 13
69, 1, 2
502, 1, 10
501, 1, 17
