1000, 80, 28
59, 1, 10
79, 1, 11
622, 1, 2
222, 1, 15
236, 1, 2
650, 1, 10
63, 1, 14
523, 1, 4
197, 1, 2
124, 1, 11
86, 1, 7
353, 1, 6
262, 1, 0
247, 1, 3
187, 1, 1
512, 1, 2
128, 1, 12
328, 1, 1
498, 1, 5
537, 1, 14
493, 1, 10
632, 1, 14
206, 1, 2
406, 1, 6
630, 1, 5
350, 1, 13
114, 1, 3
71, 1, 5
348, 1, 4
675, 1, 15
124, 1, 2
666, 1, 5
315, 1, 4
688, 1, 8
283, 1, 7
675, 1, 10
84, 1, 7
269, 1, 15
600, 1, 9
102, 1, 8
653, 1, 2
445, 1, 4
201, 1, 9
333, 1, 2
48, 1, 10
441, 1, 11
352, 1, 5
17, 1, 6
185, 1, 8
227, 1, 14
369, 1, 4
439, 1, 15
289, 1, 7
118, 1, 2
482, 1, 14
396, 1, 4
502, 1, 4
691, 1, 3
174, 1, 1
612, 1, 5
384, 1, 4
41, 1, 7
174, 1, 2
356, 1, 14
378, 1, 4
42, 1, 8
80, 1, 11
164, 1, 14
688, 1, 12
189, 1, 5
281, 1, 11
50, 1, 14
521, 1, 14
425, 1, 15
504, 1, 12
281, 1, 11
663, 1, 0
86, 1, 5
384, 1, 11
683, 1, 3
